id,skin_name,weapon_name,stat_trak,factory_new_price,quality,price_bin
2,Syndicate,CZ75-Auto,0,7.79,3,2
4,Army Sheen,CZ75-Auto,0,4.08,0,1
5,Jungle Dashed,CZ75-Auto,0,1.28,0,0
6,Distressed,CZ75-Auto,1,1.18,2,0
7,Victoria,CZ75-Auto,1,127.29,5,3
8,Circaetus,CZ75-Auto,1,1.92,2,1
9,Tread Plate,CZ75-Auto,1,19.82,3,2
10,Red Astor,CZ75-Auto,1,3.6,3,1
13,Imprint,CZ75-Auto,1,2.32,2,1
15,Polymer,CZ75-Auto,1,1.14,2,0
16,Twist,CZ75-Auto,1,3.85,2,1
17,Tigris,CZ75-Auto,1,5.15,3,1
18,Poison Dart,CZ75-Auto,1,16.03,2,2
19,Crimson Web,CZ75-Auto,1,52.89,2,3
21,Pole Position,CZ75-Auto,1,5.38,3,1
22,Green Plaid,CZ75-Auto,0,3.69,0,1
23,Yellow Jacket,CZ75-Auto,1,39.14,4,3
24,Tacticat,CZ75-Auto,1,4.1,3,1
25,Xiangliu,CZ75-Auto,1,33.87,4,3
26,Vendetta,CZ75-Auto,1,2.8,2,1
29,Midnight Palm,CZ75-Auto,0,3.38,1,1
30,Emerald Quartz,CZ75-Auto,0,126.38,2,3
31,Framework,CZ75-Auto,0,1.28,0,0
32,Hexane,CZ75-Auto,1,9.09,2,2
33,Eco,CZ75-Auto,1,8.7,3,2
34,Mudder,Desert Eagle,0,0.64,1,0
35,Light Rail,Desert Eagle,1,16.89,3,2
36,Mecha Industries,Desert Eagle,1,26.9,4,2
37,Conspiracy,Desert Eagle,1,28.44,4,2
38,Printstream,Desert Eagle,1,185.6,5,3
39,Blaze,Desert Eagle,0,664.35,3,4
40,Kumicho Dragon,Desert Eagle,1,97.44,4,3
41,Trigger Discipline,Desert Eagle,1,10.29,3,2
42,Blue Ply,Desert Eagle,1,7.98,2,2
43,Sunset Storm 弐,Desert Eagle,0,304.16,3,4
44,Emerald Jörmungandr,Desert Eagle,0,330.03,3,4
45,Night Heist,Desert Eagle,0,16.24,2,2
46,Hypnotic,Desert Eagle,1,145.38,4,3
48,Oxide Blaze,Desert Eagle,1,2.42,2,1
49,Directive,Desert Eagle,1,43.43,3,3
50,Bronze Deco,Desert Eagle,1,2.29,2,1
51,Sputnik,Desert Eagle,0,2.5,2,1
52,Crimson Web,Desert Eagle,1,407.94,3,4
53,Sunset Storm 壱,Desert Eagle,0,286.28,3,4
54,Heirloom,Desert Eagle,1,65.95,3,3
55,Urban DDPAT,Desert Eagle,0,14.91,1,2
56,The Bronze,Desert Eagle,0,4.37,1,1
57,Hand Cannon,Desert Eagle,0,589.78,3,4
58,Urban Rubble,Desert Eagle,0,0.52,2,0
59,Code Red,Desert Eagle,1,192.1,5,3
60,Midnight Storm,Desert Eagle,0,29.96,1,2
61,Fennec Fox,Desert Eagle,0,464.01,4,4
62,Ocean Drive,Desert Eagle,1,449.55,5,4
63,Naga,Desert Eagle,1,18.14,3,2
64,Cobalt Disruption,Desert Eagle,1,166.45,4,3
65,Corinthian,Desert Eagle,1,3.8,2,1
66,Pilot,Desert Eagle,0,154.85,3,3
67,Meteorite,Desert Eagle,0,1.09,2,0
68,Golden Koi,Desert Eagle,1,268.8,5,4
70,Oil Change,Dual Berettas,0,1.02,0,0
71,Dualing Dragons,Dual Berettas,1,7.47,2,2
72,Briar,Dual Berettas,0,6.19,0,1
73,Moon in Libra,Dual Berettas,0,5.23,0,1
75,Duelist,Dual Berettas,0,141.84,3,3
77,Tread,Dual Berettas,1,3.99,2,1
78,Cobalt Quartz,Dual Berettas,0,0.26,3,0
79,Black Limba,Dual Berettas,1,107.25,2,3
80,Royal Consorts,Dual Berettas,1,10.13,3,2
81,Drift Wood,Dual Berettas,0,4.01,1,1
82,Dezastre,Dual Berettas,1,17.08,3,2
83,Heist,Dual Berettas,0,0.6,0,0
84,Stained,Dual Berettas,0,0.21,1,0
85,Flora Carnivora,Dual Berettas,1,6.63,3,1
87,Ventilators,Dual Berettas,1,1.11,2,0
88,Urban Shock,Dual Berettas,1,7.7,3,2
89,Marina,Dual Berettas,1,58.56,3,3
90,Cartel,Dual Berettas,1,5.28,2,1
91,Cobra Strike,Dual Berettas,1,149.86,4,3
92,Switch Board,Dual Berettas,0,5.01,1,1
93,Balance,Dual Berettas,1,8.99,2,2
95,Shred,Dual Berettas,1,1.29,2,0
96,Pyre,Dual Berettas,0,35.8,1,3
97,Melondrama,Dual Berettas,1,17.87,4,2
98,Twin Turbo,Dual Berettas,0,7.42,4,2
99,Elite 1.6,Dual Berettas,1,1.17,2,0
100,Hemoglobin,Dual Berettas,1,31.55,3,3
101,Retribution,Dual Berettas,1,4.39,2,1
105,Case Hardened,Five-SeveN,1,108.94,3,3
106,Angry Mob,Five-SeveN,1,45.48,5,3
107,Capillary,Five-SeveN,1,1.03,2,0
111,Nightshade,Five-SeveN,1,5.55,2,1
112,Silver Quartz,Five-SeveN,0,0.61,2,0
113,Fowl Play,Five-SeveN,1,22.65,4,2
115,Hyper Beast,Five-SeveN,1,928.03,5,4
116,Withered Vine,Five-SeveN,0,5.59,1,1
117,Scrawl,Five-SeveN,1,1.24,2,0
119,Boost Protocol,Five-SeveN,1,10.04,3,2
120,Fairy Tale,Five-SeveN,1,129.87,4,3
121,Retrobution,Five-SeveN,1,8.13,3,2
123,Orange Peel,Five-SeveN,0,0.31,1,0
124,Berries And Cherries,Five-SeveN,0,93.91,3,3
125,Urban Hazard,Five-SeveN,1,3.86,2,1
126,Fall Hazard,Five-SeveN,0,349.74,4,4
127,Kami,Five-SeveN,1,3.05,2,1
128,Violent Daimyo,Five-SeveN,1,2.66,2,1
129,Scumbria,Five-SeveN,1,1.93,2,1
130,Coolant,Five-SeveN,0,0.04,0,0
131,Flame Test,Five-SeveN,1,0.75,2,0
132,Triumvirate,Five-SeveN,1,9.29,3,2
134,Neon Kimono,Five-SeveN,0,364.63,3,4
135,Forest Night,Five-SeveN,0,0.1,0,0
136,Copper Galaxy,Five-SeveN,1,24.56,3,2
137,Crimson Blossom,Five-SeveN,0,114.88,2,3
138,Buddy,Five-SeveN,1,4.28,3,1
139,Neo-Noir,Glock-18,1,268.51,5,4
140,Weasel,Glock-18,1,10.2,3,2
141,Vogue,Glock-18,1,21.42,4,2
143,Moonrise,Glock-18,1,5.61,3,1
144,Steel Disruption,Glock-18,1,11.25,3,2
145,Water Elemental,Glock-18,1,52.45,4,3
146,Winterized,Glock-18,1,2.13,2,1
147,Off World,Glock-18,1,4.33,2,1
148,Red Tire,Glock-18,0,3.63,1,1
149,Blue Fissure,Glock-18,1,78.88,2,3
151,Clear Polymer,Glock-18,1,4.27,2,1
153,Sacrifice,Glock-18,1,5.49,2,1
155,Pink DDPAT,Glock-18,0,89.67,3,3
156,Snack Attack,Glock-18,1,91.88,4,3
157,High Beam,Glock-18,0,0.12,1,0
158,Franklin,Glock-18,0,45.09,3,3
159,Synth Leaf,Glock-18,0,320.14,3,4
160,Umbral Rabbit,Glock-18,1,6.08,3,1
161,Catacombs,Glock-18,1,1.79,2,1
162,Nuclear Garden,Glock-18,0,7.22,3,2
163,Wraiths,Glock-18,1,4.93,2,1
164,Warhawk,Glock-18,1,4.38,2,1
165,Twilight Galaxy,Glock-18,0,236.65,4,4
166,Bullet Queen,Glock-18,1,174.99,5,3
167,Grinder,Glock-18,1,7.84,3,2
169,Ramese's Reach,Glock-18,0,17.92,3,2
170,Royal Legion,Glock-18,1,29.61,3,2
171,Wasteland Rebel,Glock-18,1,32.97,5,3
172,Dragon Tattoo,Glock-18,1,304.6,3,4
